age	unit	sex	geo\time	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
TOTAL	PC_ACT	T	BE	8.5	8.3	7.5	7.0	7.9	8.3	7.2	7.6	8.4	8.5	8.5	7.8
TOTAL	PC_ACT	T	BG	10.1	9.0	6.9	5.6	6.8	10.3i	11.3	12.3	13.0	11.4	9.2	7.6
TOTAL	PC_ACT	T	CY	5.3	4.6	3.9	3.7	5.4	6.3	7.9	11.9	15.9	16.1	15.0	13.0
TOTAL	PC_ACT	T	CZ	7.9	7.1	5.3	4.4	6.7	7.3	6.7	7.0	7.0	6.1	5.1	4.0
TOTAL	PC_ACT	T	DE	11.2i	10.1	8.5	7.4	7.6	7.0	5.8	5.4	5.2	5.0	4.6	4.1
TOTAL	PC_ACT	T	DK	4.8	3.9i	3.8	3.4	6.0	7.5	7.6	7.5	7.0	6.6	6.2	6.2
TOTAL	PC_ACT	T	EA	9.0	8.4	7.5	7.6	9.5	10.0	10.1	11.3	12.0	11.6	10.9	10.0
TOTAL	PC_ACT	T	EA18	9.1	8.4	7.5	7.6	9.6	10.1	10.1	11.4	12.0	11.6	10.9	10.0
TOTAL	PC_ACT	T	EA19	9.1	8.4	7.5	7.6	9.6	10.2	10.2	11.4	12.0	11.6	10.9	10.0
TOTAL	PC_ACT	T	EE	8.0	5.9	4.6	5.5i	13.5	16.7	12.3	10.0	8.6	7.4	6.2	6.8
TOTAL	PC_ACT	T	EL	10.0	9.0	8.4	7.8	9.6	12.7	17.9	24.5	27.5	26.5	24.9	23.6
TOTAL	PC_ACT	T	ES	9.2	8.5	8.2	11.3	17.9	19.9	21.4	24.8	26.1	24.5	22.1	19.6
TOTAL	PC_ACT	T	EU27	9.0	8.2	7.2	7.0	9.0	9.6	9.6	10.4	10.8	10.2	9.4	8.5
TOTAL	PC_ACT	T	EU28	9.0	8.2	7.2	7.0	9.0	9.6	9.7	10.5	10.9	10.2	9.4	8.6
TOTAL	PC_ACT	T	FI	8.4	7.7	6.9	6.4	8.2	8.4	7.8	7.7	8.2	8.7	9.4	8.8
TOTAL	PC_ACT	T	FR	8.9	8.8	8.0	7.4	9.1	9.3	9.2	9.8	10.3	10.3	10.4	10.1
TOTAL	PC_ACT	T	HR	13.0	11.6i	9.9	8.6	9.3	11.8	13.7	15.8	17.4	17.2	16.1	13.4
TOTAL	PC_ACT	T	HU	7.2	7.5	7.4	7.8i	10.0	11.2	11.0	11.0	10.2	7.7	6.8	5.1
TOTAL	PC_ACT	T	IE	4.4	4.5	4.7	6.4	12.0	13.9	14.7	14.7	13.1	11.3	9.4	7.9
TOTAL	PC_ACT	T	IS	2.6	2.9	2.3	3.0	7.2	7.6	7.1	6.0	5.4	5.0	4.0	3.0
TOTAL	PC_ACT	T	IT	7.7	6.8	6.1	6.7	7.7	8.4	8.4	10.7	12.1	12.7	11.9	11.7
